Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
112540800,00000563,false,Rx,0,8,65,02,00,00,00,00,FF,FF,
112544798,000001AB,false,Rx,0,8,74,6F,44,40,70,48,00,00,
112544873,000001AC,false,Rx,0,8,00,28,00,00,00,00,00,00,
112547691,000003B6,false,Rx,0,8,C8,07,1A,00,00,00,00,33,
112547729,000003B7,false,Rx,0,8,32,00,00,00,00,00,00,00,
112547762,000003B8,false,Rx,0,8,EE,02,00,00,00,00,69,0E,
112548691,000003B9,false,Rx,0,8,00,00,00,00,00,00,00,00,
112548720,00000036,false,Rx,0,8,A7,A2,31,51,05,00,25,01,
112548764,00000037,false,Rx,0,8,00,4B,01,10,7C,40,7C,00,
112548801,00000038,false,Rx,0,8,04,00,00,00,90,38,96,D4,
112549689,00000039,false,Rx,0,8,05,00,00,00,00,00,00,00,
112549723,000001F1,false,Rx,0,8,A3,D9,CD,00,00,00,24,00,
112549755,000001F2,false,Rx,0,8,00,00,00,00,00,00,00,00,
112552690,0000011B,false,Rx,0,8,3F,BF,67,05,80,08,A8,02,
112552740,0000012B,false,Rx,0,8,78,45,67,06,00,00,08,00,
112553691,0000011C,false,Rx,0,8,00,05,20,00,22,00,01,01,
112553731,0000012C,false,Rx,0,8,00,00,01,00,00,64,00,00,
112555688,00000475,false,Rx,0,8,12,00,00,00,00,00,00,00,
112556691,00000496,false,Rx,0,8,12,00,00,00,00,00,00,00,
112556723,000004E8,false,Rx,0,8,FF,FF,FF,02,FF,FF,FF,00,
112561688,0000010B,false,Rx,0,8,19,34,21,00,00,16,00,05,
112561729,0000010C,false,Rx,0,8,FF,F9,E7,1F,34,31,34,31,
112561785,0000010D,false,Rx,0,8,F2,02,16,00,10,00,00,35,
112561818,0000010E,false,Rx,0,8,7C,00,0A,00,7C,C0,AB,57,
112563698,00000121,false,Rx,0,8,5D,57,21,00,00,1E,00,05,
112563734,00000122,false,Rx,0,8,FF,D9,67,1F,3C,31,3C,33,
112563785,00000123,false,Rx,0,8,F2,02,1E,00,10,00,00,35,
112563817,00000124,false,Rx,0,8,7C,00,0A,00,7C,00,20,40,
112564694,00000061,false,Rx,0,8,E8,B1,03,00,00,00,00,00,
112564741,00000062,false,Rx,0,8,02,02,00,02,40,FF,00,FF,
112565689,00000063,false,Rx,0,8,9C,01,15,00,00,08,FD,00,
112565729,00000064,false,Rx,0,8,00,00,00,04,FF,FA,00,00,
112565763,000000A1,false,Rx,0,8,BB,B0,03,02,04,00,00,00,
112565796,000000A2,false,Rx,0,8,00,00,00,00,00,00,00,00,
112566689,000000A3,false,Rx,0,8,00,40,01,00,00,00,00,00,
112569688,0000019B,false,Rx,0,8,08,26,76,00,00,E4,00,00,
112569718,0000019C,false,Rx,0,8,40,20,00,00,00,00,0B,09,
112570691,0000019D,false,Rx,0,8,00,10,00,01,00,00,00,00,
112570720,0000019E,false,Rx,0,8,15,00,00,00,00,32,00,00,
112583691,00000251,false,Rx,0,8,E6,9A,36,00,00,00,00,00,
112583738,00000252,false,Rx,0,8,00,00,00,00,03,00,00,11,
112583804,00000253,false,Rx,0,8,12,00,00,39,39,00,80,30,
112585693,00000448,false,Rx,0,8,7F,00,00,00,00,00,00,00,
112591688,000001E6,false,Rx,0,8,3A,2C,76,02,00,00,00,00,
112591720,000001E7,false,Rx,0,8,00,00,22,03,20,01,00,00,
112591775,000001BB,false,Rx,0,8,1F,8F,76,02,00,00,00,0A,
112591803,000001BC,false,Rx,0,8,32,00,00,00,03,00,00,00,
112591838,00000382,false,Rx,0,8,22,3D,00,00,00,01,08,00,
112592690,000001BD,false,Rx,0,8,00,00,00,00,00,00,00,00,
112596689,000004E8,false,Rx,0,8,FF,FF,FF,02,FF,FF,FF,00,
112598695,00000036,false,Rx,0,8,54,3C,36,51,05,00,25,01,
112598726,00000037,false,Rx,0,8,00,4B,01,10,7C,40,7C,00,
112598760,00000038,false,Rx,0,8,04,00,00,00,90,38,96,D4,
112599690,000003A1,false,Rx,0,8,02,53,28,00,FF,FF,FF,FF,
112599715,00000039,false,Rx,0,8,05,00,00,00,00,00,00,00,
112599752,000003A2,false,Rx,0,8,00,00,00,00,00,00,00,00,
112602761,00000091,false,Rx,0,8,6B,1D,36,00,00,00,00,00,
112602828,00000092,false,Rx,0,8,00,00,00,00,00,00,00,00,
112602906,0000012B,false,Rx,0,8,B0,BC,6C,06,00,00,08,00,
112602947,00000093,false,Rx,0,8,00,00,00,00,00,00,00,00,
112603066,0000012C,false,Rx,0,8,00,00,01,00,00,64,00,00,
112603740,00000094,false,Rx,0,8,00,00,00,00,00,00,00,00,
112603778,00000161,false,Rx,0,8,FA,7A,B6,03,00,00,00,02,
112603816,0000011B,false,Rx,0,8,F7,46,6C,05,80,08,A8,02,
112604687,00000162,false,Rx,0,8,FF,FC,01,00,00,00,00,00,
112604740,0000011C,false,Rx,0,8,00,05,20,00,22,00,01,01,
112604782,000001E1,false,Rx,0,8,36,31,7C,02,00,00,00,00,
112604819,000001E2,false,Rx,0,8,00,00,00,00,00,00,00,00,
112605691,000000C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
112606750,00000244,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,FF,
112606794,00000146,false,Rx,0,8,98,3A,0E,10,04,01,00,00,
112606836,000004B4,false,Rx,0,8,00,00,00,00,00,00,00,00,
112606893,00000147,false,Rx,0,8,00,04,7D,00,40,00,00,00,
112606937,000004B5,false,Rx,0,8,08,00,F0,07,00,00,00,00,
112607703,00000148,false,Rx,0,8,00,00,00,00,00,5E,40,05,
112607745,000001B1,false,Rx,0,8,A3,8D,0E,00,72,00,00,00,
112607779,00000149,false,Rx,0,8,00,00,00,00,00,00,00,00,
112609117,000001B2,false,Rx,0,8,23,00,04,0E,8C,00,79,EA,
112609182,000004B7,false,Rx,0,8,08,00,F0,07,00,00,00,00,
112609238,000001B3,false,Rx,0,8,8C,16,00,00,61,65,69,65,
112609303,000004CA,false,Rx,0,8,00,00,00,00,00,00,00,00,
112609387,000001B4,false,Rx,0,8,63,67,17,00,00,40,01,00,
112609455,000004CC,false,Rx,0,8,08,00,00,03,00,00,03,00,
112609767,000002AC,false,Rx,0,8,00,FF,FF,00,00,40,00,50,
112609809,000004CE,false,Rx,0,8,14,01,FF,FF,FF,FF,FF,FF,
112610772,000002AD,false,Rx,0,8,00,01,00,40,FF,FF,FF,0F,
112610813,000004D7,false,Rx,0,8,23,01,00,00,00,00,00,00,
112610843,000002AE,false,Rx,0,8,01,00,FF,3F,00,01,00,00,
112611546,000004D8,false,Rx,0,8,41,10,F0,F0,40,F2,1E,CC,
112612116,0000010B,false,Rx,0,8,EA,D8,26,00,00,16,00,05,
112612262,000002B6,false,Rx,0,8,E4,9C,39,01,00,00,00,40,
112612500,0000010C,false,Rx,0,8,FF,F9,E7,1F,34,31,34,32,
112612543,000002B7,false,Rx,0,8,12,01,7F,00,00,04,00,00,
112612584,0000010D,false,Rx,0,8,F2,02,16,00,10,00,00,35,
112612626,000002B8,false,Rx,0,8,23,B1,0B,00,00,00,00,00,
112612664,0000010E,false,Rx,0,8,7C,00,0A,00,7C,C0,AB,57,
112612733,000001A1,false,Rx,0,8,D6,86,B6,FE,F7,7F,64,00,
112614791,000002B9,false,Rx,0,8,0A,00,00,00,00,00,00,00,
112614944,00000121,false,Rx,0,8,AE,C9,26,00,00,1E,00,05,
112615077,000001A2,false,Rx,0,8,00,00,00,00,00,08,00,00,
112615130,000000FF,false,Rx,0,8,CB,10,00,00,00,00,02,00,
112615228,00000122,false,Rx,0,8,FF,D9,67,1F,3C,31,3C,33,
112615293,00000124,false,Rx,0,8,7C,00,0A,00,7C,00,20,40,
112615415,00000062,false,Rx,0,8,02,02,00,02,40,FF,00,FF,
112615470,000001A4,false,Rx,0,8,FE,07,00,00,00,00,00,00,
112615715,00000063,false,Rx,0,8,9C,01,15,00,00,08,FD,00,
112616704,000002C1,false,Rx,0,8,C2,DA,1D,21,00,41,00,A1,
112616761,00000064,false,Rx,0,8,00,00,00,04,FF,FA,00,00,
112616792,000002C2,false,Rx,0,8,40,00,00,00,00,00,00,00,
