Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5000,000004ED,false,Rx,0,8,0,0,0,0,0,FF,FF,1F
207009,000004ED,false,Rx,0,8,0,0,0,0,0,FF,FF,1F
407021,000004ED,false,Rx,0,8,0,0,0,0,0,FF,FF,1F
607999,000004ED,false,Rx,0,8,0,0,0,0,0,FF,FF,1F
811977,000004ED,false,Rx,0,8,0,0,0,0,0,FF,FF,1F
1012014,000004ED,false,Rx,0,8,0,0,0,0,0,FF,FF,1F
1213978,000004ED,false,Rx,0,8,0,0,0,0,0,FF,FF,1F
1416972,000004ED,false,Rx,0,8,0,0,0,0,0,FF,FF,1F
2637953,000004ED,false,Rx,0,8,0,0,0,0,0,FF,FF,1F
2710939,000000C7,false,Rx,0,8,0,0,0,40,3,0,0,0
2751136,000000C7,false,Rx,0,8,0,0,0,40,3,0,0,0
2790967,000000C7,false,Rx,0,8,0,0,0,E0,7,0,0,0
2831936,000000C7,false,Rx,0,8,0,0,0,E0,7,0,0,0
2838021,000004ED,false,Rx,0,8,0,0,0,0,0,FF,FF,1F
2871054,000000C7,false,Rx,0,8,0,0,0,E0,7,0,0,0
3037977,000004ED,false,Rx,0,8,0,0,0,0,0,FF,FF,1F
3237011,000004ED,false,Rx,0,8,0,0,0,0,0,FF,FF,1F
4247937,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
4448981,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
4649038,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
5657970,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
5858092,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
6057658,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
6258145,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
6458386,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
6659047,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
6860249,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
7060029,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
7261938,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
7467939,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
7669940,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
7871438,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
